3GPpjQdAMTw __cxa_guard_acquire
yOfGg-I1ZII scePthreadRwlockattrInit
i2ifZ3fS2fo scePthreadRwlockattrDestroy
mqULNdimTn0 pthread_key_create
geDaqgH9lTg scePthreadKeyCreate
6BpEZuDT7YI pthread_key_delete
PrdHuuDekhY scePthreadKeyDelete
WrOLvHU0yQM pthread_setspecific
+BzXYkqYeLE scePthreadSetspecific
0-KXaS70xy4 pthread_getspecific
eoht7mQOCmo scePthreadGetspecific
1jfXLRVzisc sceKernelUsleep
QBi7HCK03hw sceKernelClockGettime
ejekcaNQNq0 sceKernelGettimeofday
n88vx3C5nW8 gettimeofday
-2IRUCO--PM sceKernelReadTsc
1j3S3n-tTW4 sceKernelGetTscFrequency
4J2sUJmuHZQ sceKernelGetProcessTime
fgxnMeTNUtY sceKernelGetProcessTimeCounter
BNowx2l588E sceKernelGetProcessTimeCounterFrequency
6xVpy0Fdq+I _sigprocmask
959qrazPIrg sceKernelGetProcParam
9BcDykPmo1I __error
bnZxYgAFeA0 sceKernelGetSanitizerNewReplaceExternal
py6L8jiVAN8 sceKernelGetSanitizerMallocReplaceExternal
jh+8XiK4LeE sceKernelIsAddressSanitizerEnabled
ca7v6Cxulzs sceKernelSetGPO
4oXYe9Xmk0Q sceKernelGetGPI
7oxv3PPCumo sceKernelReserveVirtualRange
BohYr-F7-is sceKernelSetPrtAperture
f7KBOafysXo sceKernelGetModuleInfoFromAddr
RpQJJVKTiFM sceKernelGetModuleInfoForUnwind
kUpgrXIrz7Q sceKernelGetModuleInfo
QgsKEUfkqMA sceKernelGetModuleInfo2
HZO7xOos4xc sceKernelGetModuleInfoInternal
IuxnUuXk6Bg sceKernelGetModuleList
ZzzC3ZGVAkc sceKernelGetModuleList2
Fjc4-n1+y2g __elf_phdr_match_addr
OMDRKKAZ8I4 sceKernelDebugRaiseException
zE-wXIZjLoM sceKernelDebugRaiseExceptionOnReleaseMode
f7uOxY9mM1U __stack_chk_guard
Ou3iL1abvng __stack_chk_fail
p5EcQeEeJAE _sceKernelRtldSetApplicationHeapAPI
QKd0qM58Qes sceKernelStopUnloadModule
wzvqT4UqKX8 sceKernelLoadStartModule
g8cM39EUZ6o sceSysmoduleLoadModule
nu4a0-arQis sceKernelAioInitializeParam
-o5uEDpN+oY sceKernelConvertUtcToLocaltime
0NTHN1NKONI sceKernelConvertLocaltimeToUtc
vYU8P9Td2Zo sceKernelAioInitializeImpl
eR2bZFAAU0Q sceSysmoduleUnloadModule
hHrGoGoNf+s sceSysmoduleLoadModuleInternalWithArg
fMP5NHUOaMk sceSysmoduleIsLoaded
WslcK1FQcGI sceKernelIsNeoMode
Xjoosiw+XPI sceKernelUuidCreate
QvsZxomvUHs sceKernelNanosleep
yS8U2TGCe1A nanosleep
QcteRwbsnV0 usleep
HoLVWNanBBc getpid
188x57JYp0g sceKernelCreateSema
Zxa0VhQVTsk sceKernelWaitSema
12wOHk8ywb0 sceKernelPollSema
4czppHBiriw sceKernelWaitSema
4DM06U2BNEY sceKernelCancelSema
R1Jvn8bSCW8 sceKernelDeleteSema
pDuPEf3m4fI sem_init
YCV5dGGBcCo sem_wait
WBWzsRifCEA sem_trywait
w5IHyvahg-o sem_timedwait
IKP8typ0QUk sem_post
Bq+LRV-N6Hk sem_getvalue
cDW233RAwWo sem_destroy
TU-d9PfIHPM socket
XVL8So3QJUk connect
KuOmgKoqCdY bind
RenI1lL1WFk getsockname
9oiX1kyeedA bzero
4n51s0zEf0c inet_pton
jogUIsOV3-U htons
Qs0wWulgl7U sceMouseInit
x8qnXqh-tiM sceMouseRead
RaqxZIf6DvE sceMouseOpen
3JCe3lCbQ8A sceHttp2Init
YiBUtz-pGkc sceHttp2Term
A9cVMUtEp4Y sceHttpInit
0gYjPTR-6cY sceHttpCreateTemplate
4I8vEpuEhZ8 sceHttpDeleteTemplate
Ik-KpLTlf7Q sceHttpTerm
gky0+oaNM4k sceNetCtlInit
JO4yuTuMoKI sceNetCtlGetNatInfo
iQw3iQPhvUQ sceNetCtlCheckCallback
uBPlr0lbuiI sceNetCtlGetState
UJ+Z7Q+4ck0 sceNetCtlRegisterCallback
1NE9OWdBIww sceNetCtlRegisterCallbackV6
obuxdTiwkF8 sceNetCtlGetInfo
Nlev7Lg8k3A sceNetInit
cTGkc6-TBlI sceNetTerm
Q4qBuN-c0ZM sceNetSocket
45ggEzakPJQ sceNetSocketClose
2mKX2Spso7I sceNetSetsockopt
bErx49PgxyY sceNetBind
kOj1HiAGE54 sceNetListen
PIWqhn9oSxc sceNetAccept
HQOwnfMGipQ sceNetErrnoLoc
dgJBaeJnGpo sceNetPoolCreate
K7RlrTkI-mw sceNetPoolDestroy
9T2pDF2Ryqg sceNetHtonl
iWQWrwiSt8A sceNetHtons
pQGpHYopAIY sceNetNtohl
Rbvt+5Y2iEw sceNetNtohs
C4UgDHHPvdw sceNetResolverCreate
kJlYH5uMAWI sceNetResolverDestroy
J5i3hiLJMPk sceNetResolverGetError
hdpVEUDFW3s sceSslInit
0K1yQ6Lv-Yc sceSslTerm
viRXSHZYd0c sceSslClose
mPYgU4oYpuY sceNgs2SystemCreateWithAllocator
u-WrYDaJA3k sceNgs2SystemDestroy
U546k6orxQo sceNgs2RackCreateWithAllocator
lCqD7oycmIM sceNgs2RackDestroy
MwmHz8pAdAo sceNgs2RackGetVoiceHandle
uu94irFOGpA sceNgs2VoiceControl
AbYvTOZ8Pts sceNgs2VoiceRunCommands
i0VnXM-C9fc sceNgs2SystemRender
pgFAiLR5qT4 sceNgs2SystemQueryBufferSize
0eFLVCfWVds sceNgs2RackQueryBufferSize
l4Q2dWEH6UM sceNgs2SystemSetGrainSamples
-tbc2SxQD60 sceNgs2SystemSetSampleRate
gThZqM5PYlQ sceNgs2SystemLock
JXRC5n0RQls sceNgs2SystemUnlock
-TOuuAQ-buE sceNgs2VoiceGetState
rEh728kXk3w sceNgs2VoiceGetStateFlags
xa8oL9dmXkM sceNgs2PanInit
1WsleK-MTkE sceNgs2GeomCalcListener
0lbbayqDNoE sceNgs2GeomResetSourceParam
7Lcfo8SmpsU sceNgs2GeomResetListenerParam
UYPxv8MIzGo _ZN3sce2Np9CppWebApi6Common10initializeERKNS2_10InitParamsERNS2_10LibContextE
jO8DM8oyego sceNpEntitlementAccessInitialize
TFyU+KFBv54 sceNpEntitlementAccessGetAddcontEntitlementInfoList
3Zl8BePTh9Y sceNpCheckCallback
S7QTn72PrDw sceNpDeleteRequest
JELHf4xPufo sceNpCheckCallbackForLib
XDncXQIJUSk sceNpGetOnlineId
VfRSmPmj8Q8 sceNpRegisterStateCallback
qQJfO8HAiaY sceNpRegisterStateCallbackA
0c7HbXRKUt4 sceNpRegisterStateCallbackForToolkit
eQH7nWPcAgc sceNpGetState
rbknaUjpqWo sceNpGetAccountIdA
JT+t00a3TxA sceNpGetAccountCountryA
e-ZuhGEoeC4 sceNpGetNpReachabilityState
Ec63y59l9tw sceNpSetNpTitleId
ysmw6J-P8Ak sceNpSessionSignalingInitialize
Bagshr7OQ6Q sceNpTrophy2CreateContext
Gz1rmUZpROM sceNpTrophy2CreateHandle
sysY2FHYff4 sceNpTrophy2DestroyContext
d8P11CI40KE sceNpTrophy2DestroyHandle
fYapWA9xVmA sceNpTrophy2AbortHandle
bIDov3wBu5Q sceNpTrophy2RegisterContext
sUXGfNMalIo sceNpTrophy2RegisterUnlockCallback
wVqxM58sIKs sceNpTrophy2UnregisterUnlockCallback
EHQEDVXZ0TI sceNpTrophy2ShowTrophyList
sjaobBgqeB4 sceNpUniversalDataSystemInitialize
5zBnau1uIEo sceNpUniversalDataSystemCreateContext
hT0IAEvN+M0 sceNpUniversalDataSystemCreateHandle
p+GcLqwpL9M sceNpUniversalDataSystemCreateEvent
wG+84pnNIuo sceNpUniversalDataSystemDestroyEvent
MfDb+4Nln64 sceNpUniversalDataSystemEventPropertyObjectSetString
Wxbg5x3pTXA sceNpUniversalDataSystemEventPropertyObjectSetArray
CzkKf7ahIyU sceNpUniversalDataSystemPostEvent
tpFJ8LIKvPw sceNpUniversalDataSystemRegisterContext
AUIHb7jUX3I sceNpUniversalDataSystemDestroyHandle
+o9816YQhqQ sceNpWebApi2Initialize
WV1GwM32NgY sceNpWebApi2PushEventCreateHandle
sk54bi6FtYM sceNpWebApi2CreateUserContext
bEvXpcEk200 sceNpWebApi2Terminate
m87BHxt-H60 sceNpGameIntentInitialize
tul3-GzejQc sceBluetoothHidInit
4FUZ+c52d2k sceBluetoothHidRegisterDevice
4Ypfo9RIwfM sceBluetoothHidRegisterCallback
cAnT0Rw-IwU sceMouseClose
hv1luiJrqQM scePadInit
xk0AcarP3V4 scePadOpen
WFIiSfXGUq8 scePadOpenExt
6ncge5+l5Qs scePadClose
clVvL4ZDntw scePadSetMotionSensorState
vDLMoJLde8I scePadSetTiltCorrectionState
gjP9-KQzoUk scePadGetControllerInformation
hGbf2QTBmqc scePadGetExtControllerInformation
YndgXqQVV7c scePadReadState
q1cHNfGycLI scePadRead
W2G-yoyMF5U scePadSetVibrationMode
2JgFB2n9oUM scePadSetTriggerEffect
yFVnOdGxvZY scePadSetVibration
RR4novUEENY scePadSetLightBar
DscD1i9HX1w scePadResetLightBar
ts6GlZOKRrE scePlayGoInitialize
M1Gma1ocrGE scePlayGoOpen
MPe0EeBGM-E scePlayGoTerminate
Uco1I0dlDi8 scePlayGoClose
73fF1MFU8hA scePlayGoGetChunkId
v6EZ-YWRdMs scePlayGoGetEta
rvBSfTimejE scePlayGoGetInstallSpeed
3OMbYZBaa50 scePlayGoGetLanguageMask
uWIYLFkkwqk scePlayGoGetLocus
-RJWNMK3fC8 scePlayGoGetProgress
Nn7zKwnA5q0 scePlayGoGetToDoList
-Q1-u1a7p0g scePlayGoPrefetch
4AAcTU9R3XM scePlayGoSetInstallSpeed
LosLlHOpNqQ scePlayGoSetLanguageMask
gUPGiOQ1tmQ scePlayGoSetToDoList
lPEBYdVX0XQ sceRtcCheckValid
fNaZ4DbzHAE sceRtcCompareTick
8Yr143yEnRo sceRtcConvertLocalTimeToUtc
M1TvFst-jrM sceRtcConvertUtcToLocalTime
8SljQx6pDP8 sceRtcEnd
LN3Zcb72Q0c sceRtcGetCurrentAdNetworkTick
8lfvnRMqwEM sceRtcGetCurrentClock
ZPD1YOKI+Kw sceRtcGetCurrentClockLocalTime
Ot1DE3gif84 sceRtcGetCurrentDebugNetworkTick
zO9UL3qIINQ sceRtcGetCurrentNetworkTick
HWxHOdbM-Pg sceRtcGetCurrentRawNetworkTick
18B2NS1y9UU sceRtcGetCurrentTick
CyIK-i4XdgQ sceRtcGetDayOfWeek
3O7Ln8AqJ1o sceRtcGetDaysInMonth
E7AR4o7Ny7E sceRtcGetDosTime
8w-H19ip48I sceRtcGetTick
jMNwqYr4R-k sceRtcGetTickResolution
BtqmpTRXHgk sceRtcGetTime_t
jfRO0uTjtzA sceRtcGetWin32FileTime
LlodCMDbk3o sceRtcInit
Ug8pCwQvh0c sceRtcIsLeapYear
NR1J0N7L2xY sceRtcTickAddDays
MDc5cd8HfCA sceRtcTickAddHours
XPIiw58C+GM sceRtcTickAddMicroseconds
mn-tf4QiFzk sceRtcTickAddMinutes
CL6y9q-XbuQ sceRtcTickAddMonths
07O525HgICs sceRtcTickAddSeconds
AqVMssr52Rc sceRtcTickAddTicks
gI4t194c2W8 sceRtcTickAddWeeks
-5y2uJ62qS8 sceRtcTickAddYears
ueega6v3GUw sceRtcSetTick
aYPCd1cChyg sceRtcSetDosTime
bDEVVP4bTjQ sceRtcSetTime_t
n5JiAJXsbcs sceRtcSetWin32FileTime
s9e3+YpRnzw sceSaveDataDialogInitialize
4tPhsP6FpDI sceSaveDataDialogOpen
ERKzksauAJA sceSaveDataDialogGetStatus
KK3Bdg1RWK0 sceSaveDataDialogUpdateStatus
en7gNVnh878 sceSaveDataDialogIsReadyToDisplay
yEiJ-qqr6Cg sceSaveDataDialogGetResult
fH46Lag88XY sceSaveDataDialogClose
YuH2FA7azqQ sceSaveDataDialogTerminate
V-uEeFKARJU sceSaveDataDialogProgressBarInc
hay1CfTmLyA sceSaveDataDialogProgressBarSetValue
TywrFKCoLGY sceSaveDataInitialize3
dyIhnXq-0SM sceSaveDataDirNameSearch
ZP4e7rlzOUk sceSaveDataMount3
gjRZNnw0JPE sceSaveDataCreateTransactionResource
lJUQuaKqoKY sceSaveDataDeleteTransactionResource
uW4vfTwMQVo sceSaveDataUmount2
sDCBrmc61XU sceSaveDataPrepare
ie7qhZ4X0Cc sceSaveDataCommit
oQySEUfgXRA sceSaveDataSetupSaveDataMemory2
QwOO7vegnV8 sceSaveDataGetSaveDataMemory2
cduy9v4YmT4 sceSaveDataSetSaveDataMemory2
wiT9jeC7xPw sceSaveDataSyncSaveDataMemory
nBDD66kiFW8 sceShareInitialize
7QZtURYnXG4 sceShareSetContentParam
4IzqhhUQ3nk sceNpTrophy2GetGameInfo
ZiDCxUUGbec sceCesUcsProfileInitSJis1997Cp932
538bRGc6Zo8 sceCesMbcsUcsContextInit
3pcAvmwKCvM sceSystemGestureInitializePrimitiveTouchRecognizer
FWF8zkhr854 sceSystemGestureCreateTouchRecognizer
qpo-mEOwje0 sceSystemGestureOpen
GgFMb22sbbI sceSystemGestureUpdatePrimitiveTouchRecognizer
j4h82CQWENo sceSystemGestureUpdateTouchRecognizer
h8uongcBNVs sceSystemGestureGetTouchEventsCount
1MMK0W-kMgA sceSystemGestureAppendTouchRecognizer
wPJGwI2RM2I sceSystemGestureUpdateAllTouchRecognizer
3RQ5aQfnstU sceSystemServiceGetNoticeScreenSkipFlag
4veE0XiIugA sceSystemServiceGetMainAppTitleId
fZo48un7LK4 sceSystemServiceParamGetInt
SsC-m-S9JTA sceSystemServiceParamGetString
rPo6tV8D9bM sceSystemServiceGetStatus
1n37q1Bvc5Y sceSystemServiceGetDisplaySafeAreaInfo
mPpPxv5CZt4 sceSystemServiceGetHdrToneMapLuminance
Vo5V8KAwCmk sceSystemServiceHideSplashScreen
3s8cHiCBKBE sceSystemServiceReportAbnormalTermination
hZIg1EWGsHM sceUltInitialize
j3YMu1MVNNo sceUserServiceInitialize
CdWp0oHWGr0 sceUserServiceGetInitialUser
fPhymKNvK-A sceUserServiceGetLoginUserIdList
yH17Q6NWtVg sceUserServiceGetEvent
1xxcMiGu2fo sceUserServiceGetUserName
D-CzAxQL0XI sceUserServiceGetPlatformPrivacySetting
woNpu+45RLk sceUserServiceGetAgeLevel
-sD02mFDBh4 sceUserServiceGetGamePresets
rnEhHqG-4xo sceUserServiceGetAccessibilityChatTranscription
ZKJtxdgvzwg sceUserServiceGetAccessibilityPressAndHoldDelay
-3Y5GO+-i78 sceUserServiceGetAccessibilityTriggerEffect
qWYHOFwqCxY sceUserServiceGetAccessibilityVibration
hD-H81EN9Vg sceUserServiceGetAccessibilityZoomEnabled
O6IW1-Dwm-w sceUserServiceGetAccessibilityZoomFollowFocus
Up36PTk687E sceVideoOutOpen
Nv8c-Kb+DUM sceVideoOutIsOutputSupported
uquVH4-Du78 sceVideoOutClose
CBiu4mCE1DA sceVideoOutSetFlipRate
w0hLuNarQxY sceVideoOutConfigureOutput
+I4K03i3EL0 sceVideoOutInitializeOutputOptions
utPrVdxio-8 sceVideoOutGetOutputStatus
DYhhWbJSeRg sceVideoOutColorSettingsSetGamma_
pv9CI5VC+R0 sceVideoOutAdjustColor_
j6RaAUlaLv0 sceVideoOutWaitVblank
1FZBKy8HeNU sceVideoOutGetVblankStatus
HXzjK9yI30k sceVideoOutAddFlipEvent
Xru92wHJRmg sceVideoOutAddVblankEvent
oNOQn3knW6s sceVideoOutDeleteVblankEvent
U46NwOiJpys sceVideoOutSubmitFlip
SbU3dwp80lQ sceVideoOutGetFlipStatus
zgXifHT9ErY sceVideoOutIsFlipPending
U2JJtSqNKZI sceVideoOutGetEventId
rWUTcKdkUzQ sceVideoOutGetEventData
MTxxrOCeSig sceVideoOutSetWindowModeMargins
N5KDtkIjjJ4 sceVideoOutUnregisterBuffers
i6-sR91Wt-4 sceVideoOutSetBufferAttribute
PjS5uASwcV8 sceVideoOutSetBufferAttribute2
w3BY+tAEiQY sceVideoOutRegisterBuffers
rKBUtgRrtbk sceVideoOutRegisterBuffers2
U8IfNl6-Css sceVoiceQoSInit
not_a_nid sceKernelWaitSema
